category_list,count,share_pct,top_providers
Agent Assist & Copilot,3122,85.02, (2844); Ar Solutions (264); Alorica (10)
Autonomous Service Agents,2939,80.04, (2655); Ar Solutions (276); Alorica (8)
Procure-to-Pay (P2P),2286,62.25, (2023); Ar Solutions (260); Alorica (3)
Back-Office & Process Management,2171,59.12, (1913); Ar Solutions (256); Alorica (2)
HR Helpdesk,2147,58.47, (1892); Ar Solutions (253); Alorica (2)
Auto & Asset-Backed,1954,53.21, (1902); Ar Solutions (43); Alorica (9)
"Data, Analytics & Insights",1800,49.02, (1754); Ar Solutions (36); Alorica (6)
Order-to-Cash (O2C),1420,38.67, (1342); Ar Solutions (75); Alorica (3)
CX Transformation & Consulting,1413,38.48, (1368); Ar Solutions (40); Encore Capital Group (4)
Inventory Planning,1327,36.14, (1245); Ar Solutions (82)
"Collections, Credit & Revenue Recovery",1317,35.87, (1297); Ar Solutions (16); Encore Capital Group (4)
Consumer Collections,1304,35.51, (1228); Ar Solutions (74); Alorica (2)
Cloud Support,1148,31.26, (912); Ar Solutions (236)
Human Resources (HRO),1136,30.94, (910); Ar Solutions (212); Alorica (10)
Digital Transformation Strategy,1080,29.41, (1044); Ar Solutions (22); Alorica (10)
Customer Experience (CX) Operations,1042,28.38, (1006); Ar Solutions (22); Alorica (14)
IT Consulting & Advisory,801,21.81, (772); Ar Solutions (21); Alorica (8)
"Risk, Compliance & Trust",636,17.32, (615); Ar Solutions (20); Alorica (1)
Content Moderation / T&S,636,17.32, (444); Ar Solutions (192)
Benchmarking & VOC Strategy,634,17.27, (542); Ar Solutions (92)
Social Media Care,622,16.94, (542); Ar Solutions (80)
Talent Acquisition,505,13.75, (396); Ar Solutions (109)
Mortgage Default,455,12.39, (429); Ar Solutions (26)
Conversational AI,444,12.09, (429); Alorica (8); Ar Solutions (7)
Order Management,412,11.22, (411); Ar Solutions (1)
Digital Self-Cure Journeys,327,8.91, (320); Encore Capital Group (4); Ar Solutions (3)
Escalations & Retention,312,8.5, (308); Alorica (2); Ar Solutions (2)
Workforce Management & Staffing,303,8.25, (295); Alorica (7); Ar Solutions (1)
Account Support,298,8.12, (291); Encore Capital Group (4); Ar Solutions (2)
Journey Mapping,263,7.16, (262); Alorica (1)
Knowledge Automation,253,6.89, (241); Ar Solutions (12)
IT Helpdesk,228,6.21, (165); Ar Solutions (59); Alorica (4)
Commercial & B2B,191,5.2, (166); Ar Solutions (17); Alorica (4)
Fraud & Disputes,134,3.65, (120); Alorica (5); Ar Solutions (5)
Technology Services,132,3.59, (132)
Record-to-Report (R2R),122,3.32, (120); Alorica (2)
Supply Chain & Logistics Management,121,3.3, (121)
Finance & Accounting (F&A),114,3.1, (110); Alorica (2); Ar Solutions (2)
Process Optimization,88,2.4, (84); Ar Solutions (4)
AI-Enabled CX & Automation,72,1.96, (70); Alorica (2)
BI & Visualization,58,1.58, (55); Ar Solutions (3)
KYC / AML,49,1.33, (48); Alorica (1)
Transportation Ops,44,1.2, (44)
Predictive / Propensity,42,1.14, (41); Alorica (1)
Application Maintenance,14,0.38, (14)
Document Processing,14,0.38, (14)
Policy Administration,4,0.11, (4)
Payroll,2,0.05, (2)
VOC & Sentiment,1,0.03, (1)
