row_id,issue,severity,suggested_fix
1,Missing provider,medium,Infer from URL or text content
2,Missing provider,medium,Infer from URL or text content
3,Missing provider,medium,Infer from URL or text content
4,Missing provider,medium,Infer from URL or text content
5,Missing provider,medium,Infer from URL or text content
6,Missing provider,medium,Infer from URL or text content
7,Missing provider,medium,Infer from URL or text content
9,Missing provider,medium,Infer from URL or text content
10,Missing provider,medium,Infer from URL or text content
11,Missing provider,medium,Infer from URL or text content
13,Missing provider,medium,Infer from URL or text content
14,Missing provider,medium,Infer from URL or text content
15,Missing provider,medium,Infer from URL or text content
16,Missing provider,medium,Infer from URL or text content
17,Missing provider,medium,Infer from URL or text content
18,Missing provider,medium,Infer from URL or text content
19,Missing provider,medium,Infer from URL or text content
21,Missing provider,medium,Infer from URL or text content
22,Missing provider,medium,Infer from URL or text content
23,Missing provider,medium,Infer from URL or text content
25,Missing provider,medium,Infer from URL or text content
26,Missing provider,medium,Infer from URL or text content
28,Missing provider,medium,Infer from URL or text content
29,Missing provider,medium,Infer from URL or text content
30,Missing provider,medium,Infer from URL or text content
31,Missing provider,medium,Infer from URL or text content
32,Missing provider,medium,Infer from URL or text content
33,Missing provider,medium,Infer from URL or text content
34,Missing provider,medium,Infer from URL or text content
35,Missing provider,medium,Infer from URL or text content
36,Missing provider,medium,Infer from URL or text content
37,Missing provider,medium,Infer from URL or text content
38,Missing provider,medium,Infer from URL or text content
39,Missing provider,medium,Infer from URL or text content
40,Missing provider,medium,Infer from URL or text content
41,Missing provider,medium,Infer from URL or text content
42,Missing provider,medium,Infer from URL or text content
43,Missing provider,medium,Infer from URL or text content
44,Missing provider,medium,Infer from URL or text content
45,Missing provider,medium,Infer from URL or text content
46,Missing provider,medium,Infer from URL or text content
47,Missing provider,medium,Infer from URL or text content
48,Missing provider,medium,Infer from URL or text content
49,Missing provider,medium,Infer from URL or text content
50,Missing provider,medium,Infer from URL or text content
51,Missing provider,medium,Infer from URL or text content
52,Missing provider,medium,Infer from URL or text content
53,Missing provider,medium,Infer from URL or text content
54,Missing provider,medium,Infer from URL or text content
55,Missing provider,medium,Infer from URL or text content
56,Missing provider,medium,Infer from URL or text content
57,Missing provider,medium,Infer from URL or text content
58,Missing provider,medium,Infer from URL or text content
59,Missing provider,medium,Infer from URL or text content
60,Missing provider,medium,Infer from URL or text content
61,Missing provider,medium,Infer from URL or text content
62,Missing provider,medium,Infer from URL or text content
63,Missing provider,medium,Infer from URL or text content
64,Missing provider,medium,Infer from URL or text content
65,Missing provider,medium,Infer from URL or text content
66,Missing provider,medium,Infer from URL or text content
67,Missing provider,medium,Infer from URL or text content
68,Missing provider,medium,Infer from URL or text content
69,Missing provider,medium,Infer from URL or text content
70,Missing provider,medium,Infer from URL or text content
71,Missing provider,medium,Infer from URL or text content
72,Missing provider,medium,Infer from URL or text content
73,Missing provider,medium,Infer from URL or text content
74,Missing provider,medium,Infer from URL or text content
75,Missing provider,medium,Infer from URL or text content
76,Missing provider,medium,Infer from URL or text content
77,Missing provider,medium,Infer from URL or text content
78,Missing provider,medium,Infer from URL or text content
80,Missing provider,medium,Infer from URL or text content
81,Missing provider,medium,Infer from URL or text content
82,Missing provider,medium,Infer from URL or text content
83,Missing provider,medium,Infer from URL or text content
84,Missing provider,medium,Infer from URL or text content
85,Missing provider,medium,Infer from URL or text content
86,Missing provider,medium,Infer from URL or text content
87,Missing provider,medium,Infer from URL or text content
88,Missing provider,medium,Infer from URL or text content
89,Missing provider,medium,Infer from URL or text content
91,Missing provider,medium,Infer from URL or text content
92,Missing provider,medium,Infer from URL or text content
93,Missing provider,medium,Infer from URL or text content
94,Missing provider,medium,Infer from URL or text content
95,Missing provider,medium,Infer from URL or text content
96,Missing provider,medium,Infer from URL or text content
97,Missing provider,medium,Infer from URL or text content
98,Missing provider,medium,Infer from URL or text content
99,Missing provider,medium,Infer from URL or text content
100,Missing provider,medium,Infer from URL or text content
101,Missing provider,medium,Infer from URL or text content
102,Missing provider,medium,Infer from URL or text content
103,Missing provider,medium,Infer from URL or text content
104,Missing provider,medium,Infer from URL or text content
105,Missing provider,medium,Infer from URL or text content
106,Missing provider,medium,Infer from URL or text content
107,Missing provider,medium,Infer from URL or text content
108,Missing provider,medium,Infer from URL or text content
109,Missing provider,medium,Infer from URL or text content
110,Missing provider,medium,Infer from URL or text content
111,Missing provider,medium,Infer from URL or text content
112,Missing provider,medium,Infer from URL or text content
113,Missing provider,medium,Infer from URL or text content
114,Missing provider,medium,Infer from URL or text content
115,Missing provider,medium,Infer from URL or text content
116,Missing provider,medium,Infer from URL or text content
117,Missing provider,medium,Infer from URL or text content
118,Missing provider,medium,Infer from URL or text content
119,Missing provider,medium,Infer from URL or text content
120,Missing provider,medium,Infer from URL or text content
121,Missing provider,medium,Infer from URL or text content
122,Missing provider,medium,Infer from URL or text content
123,Missing provider,medium,Infer from URL or text content
124,Missing provider,medium,Infer from URL or text content
125,Missing provider,medium,Infer from URL or text content
126,Missing provider,medium,Infer from URL or text content
127,Missing provider,medium,Infer from URL or text content
128,Missing provider,medium,Infer from URL or text content
129,Missing provider,medium,Infer from URL or text content
133,Missing provider,medium,Infer from URL or text content
134,Missing provider,medium,Infer from URL or text content
135,Missing provider,medium,Infer from URL or text content
136,Missing provider,medium,Infer from URL or text content
137,Missing provider,medium,Infer from URL or text content
138,Missing provider,medium,Infer from URL or text content
139,Missing provider,medium,Infer from URL or text content
140,Missing provider,medium,Infer from URL or text content
141,Missing provider,medium,Infer from URL or text content
142,Missing provider,medium,Infer from URL or text content
143,Missing provider,medium,Infer from URL or text content
144,Missing provider,medium,Infer from URL or text content
145,Missing provider,medium,Infer from URL or text content
146,Missing provider,medium,Infer from URL or text content
147,Missing provider,medium,Infer from URL or text content
148,Missing provider,medium,Infer from URL or text content
149,Missing provider,medium,Infer from URL or text content
150,Missing provider,medium,Infer from URL or text content
151,Missing provider,medium,Infer from URL or text content
152,Missing provider,medium,Infer from URL or text content
153,Missing provider,medium,Infer from URL or text content
154,Missing provider,medium,Infer from URL or text content
155,Missing provider,medium,Infer from URL or text content
156,Missing provider,medium,Infer from URL or text content
157,Missing provider,medium,Infer from URL or text content
158,Missing provider,medium,Infer from URL or text content
161,Missing provider,medium,Infer from URL or text content
162,Missing provider,medium,Infer from URL or text content
163,Missing provider,medium,Infer from URL or text content
164,Missing provider,medium,Infer from URL or text content
165,Missing provider,medium,Infer from URL or text content
166,Missing provider,medium,Infer from URL or text content
167,Missing provider,medium,Infer from URL or text content
168,Missing provider,medium,Infer from URL or text content
169,Missing provider,medium,Infer from URL or text content
170,Missing provider,medium,Infer from URL or text content
171,Missing provider,medium,Infer from URL or text content
172,Missing provider,medium,Infer from URL or text content
173,Missing provider,medium,Infer from URL or text content
174,Missing provider,medium,Infer from URL or text content
175,Missing provider,medium,Infer from URL or text content
176,Missing provider,medium,Infer from URL or text content
177,Missing provider,medium,Infer from URL or text content
178,Missing provider,medium,Infer from URL or text content
179,Missing provider,medium,Infer from URL or text content
180,Missing provider,medium,Infer from URL or text content
181,Missing provider,medium,Infer from URL or text content
182,Missing provider,medium,Infer from URL or text content
183,Missing provider,medium,Infer from URL or text content
184,Missing provider,medium,Infer from URL or text content
185,Missing provider,medium,Infer from URL or text content
186,Missing provider,medium,Infer from URL or text content
187,Missing provider,medium,Infer from URL or text content
188,Missing provider,medium,Infer from URL or text content
189,Missing provider,medium,Infer from URL or text content
190,Missing provider,medium,Infer from URL or text content
191,Missing provider,medium,Infer from URL or text content
192,Missing provider,medium,Infer from URL or text content
193,Missing provider,medium,Infer from URL or text content
194,Missing provider,medium,Infer from URL or text content
195,Missing provider,medium,Infer from URL or text content
196,Missing provider,medium,Infer from URL or text content
197,Missing provider,medium,Infer from URL or text content
198,Missing provider,medium,Infer from URL or text content
199,Missing provider,medium,Infer from URL or text content
200,Missing provider,medium,Infer from URL or text content
201,Missing provider,medium,Infer from URL or text content
202,Missing provider,medium,Infer from URL or text content
203,Missing provider,medium,Infer from URL or text content
204,Missing provider,medium,Infer from URL or text content
205,Missing provider,medium,Infer from URL or text content
206,Missing provider,medium,Infer from URL or text content
207,Missing provider,medium,Infer from URL or text content
208,Missing provider,medium,Infer from URL or text content
209,Missing provider,medium,Infer from URL or text content
210,Missing provider,medium,Infer from URL or text content
211,Missing provider,medium,Infer from URL or text content
212,Missing provider,medium,Infer from URL or text content
213,Missing provider,medium,Infer from URL or text content
214,Missing provider,medium,Infer from URL or text content
215,Missing provider,medium,Infer from URL or text content
216,Missing provider,medium,Infer from URL or text content
217,Missing provider,medium,Infer from URL or text content
218,Missing provider,medium,Infer from URL or text content
219,Missing provider,medium,Infer from URL or text content
220,Missing provider,medium,Infer from URL or text content
221,Missing provider,medium,Infer from URL or text content
222,Missing provider,medium,Infer from URL or text content
223,Missing provider,medium,Infer from URL or text content
224,Missing provider,medium,Infer from URL or text content
225,Missing provider,medium,Infer from URL or text content
226,Missing provider,medium,Infer from URL or text content
227,Missing provider,medium,Infer from URL or text content
228,Missing provider,medium,Infer from URL or text content
237,Missing provider,medium,Infer from URL or text content
238,Missing provider,medium,Infer from URL or text content
239,Missing provider,medium,Infer from URL or text content
240,Missing provider,medium,Infer from URL or text content
241,Missing provider,medium,Infer from URL or text content
242,Missing provider,medium,Infer from URL or text content
244,Missing provider,medium,Infer from URL or text content
245,Missing provider,medium,Infer from URL or text content
247,Missing provider,medium,Infer from URL or text content
248,Missing provider,medium,Infer from URL or text content
249,Missing provider,medium,Infer from URL or text content
250,Missing provider,medium,Infer from URL or text content
251,Missing provider,medium,Infer from URL or text content
252,Missing provider,medium,Infer from URL or text content
253,Missing provider,medium,Infer from URL or text content
254,Missing provider,medium,Infer from URL or text content
255,Missing provider,medium,Infer from URL or text content
256,Missing provider,medium,Infer from URL or text content
257,Missing provider,medium,Infer from URL or text content
258,Missing provider,medium,Infer from URL or text content
262,Missing provider,medium,Infer from URL or text content
263,Missing provider,medium,Infer from URL or text content
264,Missing provider,medium,Infer from URL or text content
265,Missing provider,medium,Infer from URL or text content
266,Missing provider,medium,Infer from URL or text content
267,Missing provider,medium,Infer from URL or text content
268,Missing provider,medium,Infer from URL or text content
269,Missing provider,medium,Infer from URL or text content
270,Missing provider,medium,Infer from URL or text content
271,Missing provider,medium,Infer from URL or text content
272,Missing provider,medium,Infer from URL or text content
273,Missing provider,medium,Infer from URL or text content
274,Missing provider,medium,Infer from URL or text content
275,Missing provider,medium,Infer from URL or text content
276,Missing provider,medium,Infer from URL or text content
277,Missing provider,medium,Infer from URL or text content
278,Missing provider,medium,Infer from URL or text content
279,Missing provider,medium,Infer from URL or text content
280,Missing provider,medium,Infer from URL or text content
281,Missing provider,medium,Infer from URL or text content
282,Missing provider,medium,Infer from URL or text content
283,Missing provider,medium,Infer from URL or text content
284,Missing provider,medium,Infer from URL or text content
285,Missing provider,medium,Infer from URL or text content
286,Missing provider,medium,Infer from URL or text content
287,Missing provider,medium,Infer from URL or text content
288,Missing provider,medium,Infer from URL or text content
289,Missing provider,medium,Infer from URL or text content
290,Missing provider,medium,Infer from URL or text content
291,Missing provider,medium,Infer from URL or text content
292,Missing provider,medium,Infer from URL or text content
293,Missing provider,medium,Infer from URL or text content
295,Missing provider,medium,Infer from URL or text content
296,Missing provider,medium,Infer from URL or text content
297,Missing provider,medium,Infer from URL or text content
298,Missing provider,medium,Infer from URL or text content
299,Missing provider,medium,Infer from URL or text content
300,Missing provider,medium,Infer from URL or text content
301,Missing provider,medium,Infer from URL or text content
302,Missing provider,medium,Infer from URL or text content
303,Missing provider,medium,Infer from URL or text content
304,Missing provider,medium,Infer from URL or text content
305,Missing provider,medium,Infer from URL or text content
306,Missing provider,medium,Infer from URL or text content
307,Missing provider,medium,Infer from URL or text content
308,Missing provider,medium,Infer from URL or text content
309,Missing provider,medium,Infer from URL or text content
310,Missing provider,medium,Infer from URL or text content
311,Missing provider,medium,Infer from URL or text content
312,Missing provider,medium,Infer from URL or text content
313,Missing provider,medium,Infer from URL or text content
314,Missing provider,medium,Infer from URL or text content
315,Missing provider,medium,Infer from URL or text content
316,Missing provider,medium,Infer from URL or text content
317,Missing provider,medium,Infer from URL or text content
318,Missing provider,medium,Infer from URL or text content
319,Missing provider,medium,Infer from URL or text content
320,Missing provider,medium,Infer from URL or text content
321,Missing provider,medium,Infer from URL or text content
322,Missing provider,medium,Infer from URL or text content
323,Missing provider,medium,Infer from URL or text content
324,Missing provider,medium,Infer from URL or text content
325,Missing provider,medium,Infer from URL or text content
326,Missing provider,medium,Infer from URL or text content
327,Missing provider,medium,Infer from URL or text content
328,Missing provider,medium,Infer from URL or text content
329,Missing provider,medium,Infer from URL or text content
331,Missing provider,medium,Infer from URL or text content
332,Missing provider,medium,Infer from URL or text content
333,Missing provider,medium,Infer from URL or text content
334,Missing provider,medium,Infer from URL or text content
335,Missing provider,medium,Infer from URL or text content
336,Missing provider,medium,Infer from URL or text content
337,Missing provider,medium,Infer from URL or text content
338,Missing provider,medium,Infer from URL or text content
339,Missing provider,medium,Infer from URL or text content
340,Missing provider,medium,Infer from URL or text content
341,Missing provider,medium,Infer from URL or text content
342,Missing provider,medium,Infer from URL or text content
343,Missing provider,medium,Infer from URL or text content
344,Missing provider,medium,Infer from URL or text content
345,Missing provider,medium,Infer from URL or text content
346,Missing provider,medium,Infer from URL or text content
347,Missing provider,medium,Infer from URL or text content
348,Missing provider,medium,Infer from URL or text content
349,Missing provider,medium,Infer from URL or text content
350,Missing provider,medium,Infer from URL or text content
351,Missing provider,medium,Infer from URL or text content
352,Missing provider,medium,Infer from URL or text content
353,Missing provider,medium,Infer from URL or text content
354,Missing provider,medium,Infer from URL or text content
355,Missing provider,medium,Infer from URL or text content
356,Missing provider,medium,Infer from URL or text content
357,Missing provider,medium,Infer from URL or text content
358,Missing provider,medium,Infer from URL or text content
359,Missing provider,medium,Infer from URL or text content
360,Missing provider,medium,Infer from URL or text content
361,Missing provider,medium,Infer from URL or text content
362,Missing provider,medium,Infer from URL or text content
364,Missing provider,medium,Infer from URL or text content
365,Missing provider,medium,Infer from URL or text content
366,Missing provider,medium,Infer from URL or text content
367,Missing provider,medium,Infer from URL or text content
368,Missing provider,medium,Infer from URL or text content
369,Missing provider,medium,Infer from URL or text content
370,Missing provider,medium,Infer from URL or text content
371,Missing provider,medium,Infer from URL or text content
372,Missing provider,medium,Infer from URL or text content
373,Missing provider,medium,Infer from URL or text content
374,Missing provider,medium,Infer from URL or text content
375,Missing provider,medium,Infer from URL or text content
376,Missing provider,medium,Infer from URL or text content
377,Missing provider,medium,Infer from URL or text content
378,Missing provider,medium,Infer from URL or text content
379,Missing provider,medium,Infer from URL or text content
380,Missing provider,medium,Infer from URL or text content
381,Missing provider,medium,Infer from URL or text content
382,Missing provider,medium,Infer from URL or text content
383,Missing provider,medium,Infer from URL or text content
384,Missing provider,medium,Infer from URL or text content
385,Missing provider,medium,Infer from URL or text content
386,Missing provider,medium,Infer from URL or text content
387,Missing provider,medium,Infer from URL or text content
388,Missing provider,medium,Infer from URL or text content
389,Missing provider,medium,Infer from URL or text content
390,Missing provider,medium,Infer from URL or text content
391,Missing provider,medium,Infer from URL or text content
392,Missing provider,medium,Infer from URL or text content
393,Missing provider,medium,Infer from URL or text content
394,Missing provider,medium,Infer from URL or text content
395,Missing provider,medium,Infer from URL or text content
396,Missing provider,medium,Infer from URL or text content
397,Missing provider,medium,Infer from URL or text content
398,Missing provider,medium,Infer from URL or text content
399,Missing provider,medium,Infer from URL or text content
400,Missing provider,medium,Infer from URL or text content
401,Missing provider,medium,Infer from URL or text content
402,Missing provider,medium,Infer from URL or text content
403,Missing provider,medium,Infer from URL or text content
404,Missing provider,medium,Infer from URL or text content
405,Missing provider,medium,Infer from URL or text content
406,Missing provider,medium,Infer from URL or text content
407,Missing provider,medium,Infer from URL or text content
408,Missing provider,medium,Infer from URL or text content
409,Missing provider,medium,Infer from URL or text content
410,Missing provider,medium,Infer from URL or text content
411,Missing provider,medium,Infer from URL or text content
412,Missing provider,medium,Infer from URL or text content
413,Missing provider,medium,Infer from URL or text content
414,Missing provider,medium,Infer from URL or text content
415,Missing provider,medium,Infer from URL or text content
416,Missing provider,medium,Infer from URL or text content
417,Missing provider,medium,Infer from URL or text content
418,Missing provider,medium,Infer from URL or text content
419,Missing provider,medium,Infer from URL or text content
420,Missing provider,medium,Infer from URL or text content
421,Missing provider,medium,Infer from URL or text content
422,Missing provider,medium,Infer from URL or text content
423,Missing provider,medium,Infer from URL or text content
424,Missing provider,medium,Infer from URL or text content
425,Missing provider,medium,Infer from URL or text content
426,Missing provider,medium,Infer from URL or text content
427,Missing provider,medium,Infer from URL or text content
428,Missing provider,medium,Infer from URL or text content
429,Missing provider,medium,Infer from URL or text content
430,Missing provider,medium,Infer from URL or text content
431,Missing provider,medium,Infer from URL or text content
432,Missing provider,medium,Infer from URL or text content
433,Missing provider,medium,Infer from URL or text content
434,Missing provider,medium,Infer from URL or text content
435,Missing provider,medium,Infer from URL or text content
436,Missing provider,medium,Infer from URL or text content
437,Missing provider,medium,Infer from URL or text content
438,Missing provider,medium,Infer from URL or text content
439,Missing provider,medium,Infer from URL or text content
440,Missing provider,medium,Infer from URL or text content
441,Missing provider,medium,Infer from URL or text content
442,Missing provider,medium,Infer from URL or text content
443,Missing provider,medium,Infer from URL or text content
444,Missing provider,medium,Infer from URL or text content
445,Missing provider,medium,Infer from URL or text content
446,Missing provider,medium,Infer from URL or text content
447,Missing provider,medium,Infer from URL or text content
448,Missing provider,medium,Infer from URL or text content
449,Missing provider,medium,Infer from URL or text content
450,Missing provider,medium,Infer from URL or text content
451,Missing provider,medium,Infer from URL or text content
452,Missing provider,medium,Infer from URL or text content
453,Missing provider,medium,Infer from URL or text content
